date,company_Name,ticker,broker,analytst,rating_before,rating_after,price_target_before,price_target_after
2013-11-18,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,,UNDERWEIGHT                  ,,
2014-02-13,Nvidia Corp,NVDA,SUSQUEHANNA,CHRIS CASO,                             ,NEUTRAL                      ,0.35,0.35
2014-02-13,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,,UNDERWEIGHT                  ,,
2014-03-19,Nvidia Corp,NVDA,STIFEL,KEVIN CASSIDY,BUY,BUY,0.47,0.47
2014-03-24,Nvidia Corp,NVDA,B. RILEY,CHRISTOPHER ROLLAND,,MARKET PERFORM               ,,
2014-05-06,Nvidia Corp,NVDA,SUSQUEHANNA,CHRIS CASO,,NEUTRAL                      ,,
2014-05-09,Nvidia Corp,NVDA,STIFEL,KEVIN CASSIDY,Buy                          ,Buy                          ,22.0,22.0
2014-06-19,Nvidia Corp,NVDA,BAML,VIVEK ARYA,NEUTRAL,UNDERPERFORM,,
2014-08-08,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,                             ,UNDERPERFORM                 ,0.35,0.35
2014-08-08,Nvidia Corp,NVDA,B. RILEY,CHRISTOPHER ROLLAND,MARKET PERFORM,MARKET PERFO,,
2014-11-04,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,,HOLD                         ,,
2014-11-07,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,                             ,HOLD                         ,0.47,0.47
2014-11-07,Nvidia Corp,NVDA,STIFEL,KEVIN CASSIDY,                             ,BUY                          ,0.55,0.55
2015-02-12,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,Hold                         ,Hold                         ,23.0,23.0
2015-02-12,Nvidia Corp,NVDA,,KEVIN CASSIDY,Buy                          ,Buy                          ,27.0,27.0
2015-02-12,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,Hold                         ,Hold                         ,23.0,23.0
2015-02-12,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,UNDERWEIGHT,UNDERWEIGHT,0.42,0.42
2015-03-10,Nvidia Corp,NVDA,BAML,VIVEK ARYA,NEUTRAL,BUY,0.6,0.6
2015-05-06,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,,UNDERWEIGHT                  ,,
2015-05-08,Nvidia Corp,NVDA,,KEVIN CASSIDY,Buy                          ,Buy                          ,25.0,25.0
2015-08-07,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,Underweight                  ,Underweight                  ,21.0,21.0
2015-08-07,Nvidia Corp,NVDA,SUSQUEHANNA,CHRIS CASO,                             ,NEUTRAL                      ,0.47,0.47
2015-08-07,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,Hold                         ,Hold                         ,24.0,24.0
2015-08-07,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,Hold                         ,Hold                         ,24.0,24.0
2015-08-07,Nvidia Corp,NVDA,,KEVIN CASSIDY,Buy                          ,Buy                          ,26.0,26.0
2015-08-07,Nvidia Corp,NVDA,B. RILEY,CHRISTOPHER ROLLAND,MARKET PERFORM,MARKET PERFO,0.57,0.57
2015-09-17,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,BUY,HOLD,0.57,0.57
2015-10-30,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,Equal Weight                 ,Equal Weight                 ,,
2015-11-06,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,Equal Weight                 ,Equal Weight                 ,,
2015-11-06,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,Hold                         ,Hold                         ,32.0,32.0
2015-11-06,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,                             ,BUY                          ,0.85,0.85
2016-02-17,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,BUY,BUY,,
2016-02-18,Nvidia Corp,NVDA,,CHRISTOPHER ROLLAND,Buy                          ,Buy                          ,,
2016-02-18,Nvidia Corp,NVDA,SUSQUEHANNA,CHRIS CASO,                             ,NEUTRAL                      ,0.62,0.62
2016-02-18,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,Hold                         ,Hold                         ,26.0,26.0
2016-04-04,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,Buy                          ,Buy                          ,42.0,42.0
2016-04-06,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,Hold                         ,Hold                         ,30.0,30.0
2016-04-06,Nvidia Corp,NVDA,,KEVIN CASSIDY,Buy,Hold,,
2016-05-13,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,,                             ,,
2016-05-13,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,Hold                         ,Hold                         ,32.0,32.0
2016-07-14,Nvidia Corp,NVDA,MIZUHO,VIJAY RAKESH,BUY,BUY,,
2016-08-08,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,,                             ,,
2016-08-12,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,                             ,BUY                          ,1.72,1.72
2016-08-12,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,,HOLD                         ,,
2016-08-12,Nvidia Corp,NVDA,MIZUHO,VIJAY RAKESH,Buy                          ,Buy                          ,70.0,70.0
2016-09-19,Nvidia Corp,NVDA,TRUIST,WILLIAM STEIN,,NEUTRAL                      ,,
2016-09-20,Nvidia Corp,NVDA,,CHRISTOPHER ROLLAND,Neutral                      ,Neutral                      ,,
2016-10-03,Nvidia Corp,NVDA,BAML,VIVEK ARYA,,                             ,,
2016-11-02,Nvidia Corp,NVDA,CITI,ATIF MALIK,,BUY                          ,,
2016-11-11,Nvidia Corp,NVDA,MIZUHO,VIJAY RAKESH,Buy                          ,Buy                          ,97.0,97.0
2016-11-11,Nvidia Corp,NVDA,BARCLAYS,BLAYNE CURTIS,                             ,                             ,1.35,1.35
2016-11-11,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,                             ,BUY                          ,2.0,2.0
2016-11-11,Nvidia Corp,NVDA,CITI,ATIF MALIK,,                             ,,
2016-11-23,Nvidia Corp,NVDA,CITI,ATIF MALIK,BUY,BUY,,
2016-12-12,Nvidia Corp,NVDA,CITI,ATIF MALIK,,                             ,,
2016-12-12,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,,                             ,,
2016-12-14,Nvidia Corp,NVDA,EVERCORE,C J MUSE,BUY,BUY,,
2016-12-20,Nvidia Corp,NVDA,MIZUHO,VIJAY RAKESH,Buy                          ,Buy                          ,115.0,115.0
2016-12-28,Nvidia Corp,NVDA,ARGUS,JIM KELLEHER,                             ,BUY                          ,2.37,2.37
2017-01-04,Nvidia Corp,NVDA,CITI,ATIF MALIK,BUY,BUY,,
2017-01-06,Nvidia Corp,NVDA,B. RILEY,CRAIG ELLIS,,BUY                          ,,
2017-01-09,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,,BUY                          ,,
2017-02-03,Nvidia Corp,NVDA,CLSA,CHRIS CASO,,UNDERPERFORM                 ,,
2017-02-06,Nvidia Corp,NVDA,BAML,VIVEK ARYA,TOPPICK,TOPPICK,,
2017-02-07,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,,                             ,,
2017-02-10,Nvidia Corp,NVDA,MIZUHO,VIJAY RAKESH,                             ,BUY                          ,2.87,2.87
2017-02-10,Nvidia Corp,NVDA,CITI,ATIF MALIK,,                             ,,
2017-02-10,Nvidia Corp,NVDA,STIFEL,KEVIN CASSIDY,,HOLD                         ,,
2017-02-10,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,                             ,BUY                          ,3.12,3.12
2017-02-22,Nvidia Corp,NVDA,ROTH MKM,RUBEN ROY,,NEUTRAL                      ,,
2017-04-05,Nvidia Corp,NVDA,CITI,ATIF MALIK,SELL,SELL,,
2017-05-10,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,                             ,                             ,2.87,2.87
2017-05-10,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,BUY,BUY,,
2017-05-10,Nvidia Corp,NVDA,ROTH MKM,RUBEN ROY,                             ,NEUTRAL                      ,2.5,2.5
2017-05-18,Nvidia Corp,NVDA,BERNSTEIN,STACY RASGON,,OUTPERFORM                   ,,
2017-05-22,Nvidia Corp,NVDA,BAML,VIVEK ARYA,BUY,BUY,,
2017-05-30,Nvidia Corp,NVDA,CITI,ATIF MALIK,BUY,BUY,,
2017-06-09,Nvidia Corp,NVDA,BAML,VIVEK ARYA,BUY,POSITIVE,3.87,3.87
2017-06-09,Nvidia Corp,NVDA,ARGUS,JIM KELLEHER,                             ,BUY                          ,3.5,3.5
2017-06-15,Nvidia Corp,NVDA,RAYMOND JAMES,CHRIS CASO,,OUTPERFORM                   ,,
2017-06-28,Nvidia Corp,NVDA,,CHRISTOPHER ROLLAND,Positive                     ,Positive                     ,170.0,170.0
2017-06-28,Nvidia Corp,NVDA,MIZUHO,VIJAY RAKESH,                             ,BUY                          ,3.62,3.62
2017-07-06,Nvidia Corp,NVDA,BAML,VIVEK ARYA,,BUY                          ,,
2017-07-10,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,,BUY                          ,,
2017-07-12,Nvidia Corp,NVDA,TRUIST,WILLIAM STEIN,HOLD,BUY,3.1,3.1
2017-08-09,Nvidia Corp,NVDA,CITI,ATIF MALIK,,                             ,,
2017-08-11,Nvidia Corp,NVDA,ROTH MKM,RUBEN ROY,NEUTRAL,NEUTRAL,2.65,2.65
2017-08-11,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,,BUY                          ,,
2017-08-11,Nvidia Corp,NVDA,BARCLAYS,BLAYNE CURTIS,                             ,                             ,2.62,2.62
2017-08-11,Nvidia Corp,NVDA,MIZUHO,VIJAY RAKESH,                             ,BUY                          ,4.25,4.25
2017-09-14,Nvidia Corp,NVDA,,CHRISTOPHER ROLLAND,Neutral                      ,Neutral                      ,155.0,155.0
2017-09-15,Nvidia Corp,NVDA,EVERCORE,C J MUSE,Outperform                   ,Outperform                   ,250.0,250.0
