date,company_Name,ticker,broker,analytst,rating_before,rating_after,price_target_before,price_target_after
12/11/2015,Adobe Systems Inc,ADBE,STEPHENS,ALEX ZUKIN,                             ,OVERWEIGHT                   ,100,115
3/17/2017,Adobe Systems Inc,ADBE,PIPER SANDLER,ALEX ZUKIN,,                             ,,160
9/20/2017,Adobe Systems Inc,ADBE,PIPER SANDLER,ALEX ZUKIN,OVERWEIGHT,OVERWEIGHT,,180
3/16/2018,Adobe Systems Inc,ADBE,PIPER SANDLER,ALEX ZUKIN,                             ,OVERWEIGHT                   ,220,260
9/14/2018,Adobe Systems Inc,ADBE,PIPER SANDLER,ALEX ZUKIN,,                             ,,290
10/16/2018,Adobe Systems Inc,ADBE,PIPER SANDLER,ALEX ZUKIN,OVERWEIGHT,OVERWEIGHT,,310
9/18/2019,Adobe Systems Inc,ADBE,RBC,ALEX ZUKIN,,                             ,,                  
11/5/2019,Adobe Systems Inc,ADBE,RBC,ALEX ZUKIN,OUTPERFORM,IN LINE,,345
3/13/2020,Adobe Systems Inc,ADBE,RBC,ALEX ZUKIN,OUTPERFORM,OUTPERFORM,345,325
6/12/2020,Adobe Systems Inc,ADBE,RBC,ALEX ZUKIN,                             ,OUTPERFORM                   ,325,440
9/10/2020,Adobe Systems Inc,ADBE,RBC,ALEX ZUKIN,                             ,OUTPERFORM                   ,440,550
9/16/2020,Adobe Systems Inc,ADBE,RBC,ALEX ZUKIN,                             ,OUTPERFORM                   ,550,570
12/11/2020,Adobe Systems Inc,ADBE,RBC,ALEX ZUKIN,                             ,OUTPERFORM                   ,570,575
6/17/2022,Adobe Systems Inc,ADBE,WOLFE,ALEX ZUKIN,                             ,OUTPERFORM                   ,500,400
9/16/2022,Adobe Systems Inc,ADBE,WOLFE,ALEX ZUKIN,                             ,OUTPERFORM                   ,470,340
3/24/2021,Adobe Systems Inc,ADBE,RBC,ALEX ZUKIN,,OUTPERFORM                   ,,575
6/21/2017,Adobe Systems Inc,ADBE,PIPER SANDLER,ALEX ZUKIN,                             ,OVERWEIGHT                   ,160,180
10/19/2017,Adobe Systems Inc,ADBE,PIPER SANDLER,ALEX ZUKIN,OVERWEIGHT,OVERWEIGHT,180,195
7/26/2016,Adobe Systems Inc,ADBE,PIPER SANDLER,ALEX ZUKIN,OVERWEIGHT,OVERWEIGHT,,125
9/13/2019,Adobe Systems Inc,ADBE,RBC,ALEX ZUKIN,OUTPERFORM,OUTPERFORM,,                  
3/16/2023,Adobe Systems Inc,ADBE,WOLFE,ALEX ZUKIN,                             ,OUTPERFORM                   ,440,420
9/15/2023,Adobe Systems Inc,ADBE,WOLFE,ALEX ZUKIN,                             ,OUTPERFORM                   ,580,650
3/22/2017,Adobe Systems Inc,ADBE,PIPER SANDLER,ALEX ZUKIN,OVERWEIGHT,OVERWEIGHT,,160
4/22/2021,Adobe Systems Inc,ADBE,WOLFE,ALEX ZUKIN,,OUTPERFORM                   ,,650
2/24/2023,Adobe Systems Inc,ADBE,WOLFE,ALEX ZUKIN,Outperform                   ,Outperform                   ,440,440
4/30/2020,Adobe Systems Inc,ADBE,,AMBRISH SRIVASTAVA,Outperform                   ,Outperform                   ,375,375
4/5/2022,Adobe Systems Inc,ADBE,,AMBRISH SRIVASTAVA,Outperform                   ,Outperform                   ,730,730
12/17/2021,Adobe Systems Inc,ADBE,,AMBRISH SRIVASTAVA,Outperform                   ,Outperform                   ,720 » 650       ,720 » 650
6/18/2021,Adobe Systems Inc,ADBE,,AMBRISH SRIVASTAVA,Outperform                   ,Outperform                   ,600,600
3/13/2020,Adobe Systems Inc,ADBE,,AMBRISH SRIVASTAVA,Outperform                   ,Outperform                   ,370,370
9/16/2020,Adobe Systems Inc,ADBE,,AMBRISH SRIVASTAVA,Outperform                   ,Outperform                   ,560,560
9/17/2021,Adobe Systems Inc,ADBE,,AMBRISH SRIVASTAVA,Outperform                   ,Outperform                   ,,
12/11/2019,Adobe Systems Inc,ADBE,BMO,AMBRISH SRIVASTAVA,                             ,OUTPERFORM                   ,300,350
11/5/2019,Adobe Systems Inc,ADBE,BMO,AMBRISH SRIVASTAVA,,MARKET PERFORM               ,,310
10/15/2019,Adobe Systems Inc,ADBE,CLEVELAND RESEARCH,ARI TERJANIAN,,NEUTRAL                      ,,283
1/27/2020,Adobe Systems Inc,ADBE,CLEVELAND RESEARCH,ARI TERJANIAN,BUY,NEUTRAL,,                  
3/15/2024,Adobe Systems Inc,ADBE,MELIUS,BEN REITZES,                             ,BUY                          ,735,685
4/8/2021,Adobe Systems Inc,ADBE,BAML,BRAD SILLS,,BUY                          ,,570
6/17/2022,Adobe Systems Inc,ADBE,BAML,BRAD SILLS,                             ,BUY                          ,560,450
9/16/2022,Adobe Systems Inc,ADBE,BAML,BRAD SILLS,NEUTRAL,BUY,450,350
8/17/2023,Adobe Systems Inc,ADBE,BAML,BRAD SILLS,BUY,NEUTRAL,575,630
9/15/2023,Adobe Systems Inc,ADBE,BAML,BRAD SILLS,                             ,BUY                          ,630,660
8/20/2021,Adobe Systems Inc,ADBE,BAML,BRAD SILLS,,BUY                          ,,640
12/16/2022,Adobe Systems Inc,ADBE,BAML,BRAD SILLS,                             ,NEUTRAL                      ,350,400
3/13/2025,Adobe Systems Inc,ADBE,BAML,BRAD SILLS,                             ,BUY                          ,605,528
12/17/2021,Adobe Systems Inc,ADBE,BAML,BRAD SILLS,Buy                          ,Buy                          ,640,640
6/2/2023,Adobe Systems Inc,ADBE,BAML,BRAD SILLS,Buy,Buy,480,480
9/13/2024,Adobe Systems Inc,ADBE,,BRAD SILLS,Buy,Buy,640,640
12/12/2024,Adobe Systems Inc,ADBE,,BRAD SILLS,Buy,Buy,605,605
10/7/2015,Adobe Systems Inc,ADBE,JEFFERIES,BRAD ZELNICK,BUY,BUY,,92
9/14/2018,Adobe Systems Inc,ADBE,CREDIT SUISSE,BRAD ZELNICK,                             ,OUTPERFORM                   ,275,300
10/10/2018,Adobe Systems Inc,ADBE,CREDIT SUISSE,BRAD ZELNICK,,OUTPERFORM                   ,,300
6/19/2019,Adobe Systems Inc,ADBE,CREDIT SUISSE,BRAD ZELNICK,                             ,                             ,300,325
12/13/2019,Adobe Systems Inc,ADBE,CREDIT SUISSE,BRAD ZELNICK,                             ,OUTPERFORM                   ,325,350
1/13/2020,Adobe Systems Inc,ADBE,CREDIT SUISSE,BRAD ZELNICK,,                             ,,385
3/13/2020,Adobe Systems Inc,ADBE,CREDIT SUISSE,BRAD ZELNICK,                             ,OUTPERFORM                   ,385,370
6/12/2020,Adobe Systems Inc,ADBE,CREDIT SUISSE,BRAD ZELNICK,                             ,OUTPERFORM                   ,415,425
9/16/2020,Adobe Systems Inc,ADBE,CREDIT SUISSE,BRAD ZELNICK,                             ,OUTPERFORM                   ,425,560
12/17/2021,Adobe Systems Inc,ADBE,DEUTSCHE BANK,BRAD ZELNICK,                             ,BUY                          ,770,715
1/21/2022,Adobe Systems Inc,ADBE,DEUTSCHE BANK,BRAD ZELNICK,                             ,BUY                          ,715,660
3/23/2022,Adobe Systems Inc,ADBE,DEUTSCHE BANK,BRAD ZELNICK,                             ,BUY                          ,660,575
6/17/2022,Adobe Systems Inc,ADBE,DEUTSCHE BANK,BRAD ZELNICK,                             ,BUY                          ,575,500
9/16/2022,Adobe Systems Inc,ADBE,DEUTSCHE BANK,BRAD ZELNICK,                             ,BUY                          ,500,400
12/16/2022,Adobe Systems Inc,ADBE,DEUTSCHE BANK,BRAD ZELNICK,                             ,BUY                          ,400,430
1/23/2018,Adobe Systems Inc,ADBE,,BRAD ZELNICK,Outperform                   ,Outperform                   ,225,225
3/16/2018,Adobe Systems Inc,ADBE,,BRAD ZELNICK,Outperform                   ,Outperform                   ,260,260
3/16/2021,Adobe Systems Inc,ADBE,,BRAD ZELNICK,Outperform                   ,Outperform                   ,575,575
3/24/2017,Adobe Systems Inc,ADBE,,BRAD ZELNICK,Neutral,Outperform,,
5/10/2018,Adobe Systems Inc,ADBE,,BRAD ZELNICK,Outperform                   ,Outperform                   ,250,250
10/19/2017,Adobe Systems Inc,ADBE,,BRAD ZELNICK,Outperform                   ,Outperform                   ,187,187
6/17/2015,Adobe Systems Inc,ADBE,JEFFERIES,BRAD ZELNICK,BUY,BUY,,90
12/11/2020,Adobe Systems Inc,ADBE,CREDIT SUISSE,BRAD ZELNICK,                             ,OUTPERFORM                   ,560,575
9/15/2023,Adobe Systems Inc,ADBE,DEUTSCHE BANK,BRAD ZELNICK,                             ,BUY                          ,550,610
12/14/2023,Adobe Systems Inc,ADBE,DEUTSCHE BANK,BRAD ZELNICK,                             ,BUY                          ,610,650
9/18/2015,Adobe Systems Inc,ADBE,JEFFERIES,BRAD ZELNICK,BUY,BUY,90,92
11/1/2021,Adobe Systems Inc,ADBE,DEUTSCHE BANK,BRAD ZELNICK,,BUY                          ,,770
12/12/2024,Adobe Systems Inc,ADBE,DEUTSCHE BANK,BRAD ZELNICK,                             ,BUY                          ,650,600
6/8/2023,Adobe Systems Inc,ADBE,DEUTSCHE BANK,BRAD ZELNICK,Buy                          ,Buy                          ,500,500
1/23/2018,Adobe Systems Inc,ADBE,KEYBANK,BRENT BRACELIN,                             ,                             ,220,225
3/16/2018,Adobe Systems Inc,ADBE,KEYBANK,BRENT BRACELIN,,                             ,,252
12/14/2018,Adobe Systems Inc,ADBE,KEYBANK,BRENT BRACELIN,                             ,OVERWEIGHT                   ,286,282
11/13/2019,Adobe Systems Inc,ADBE,PIPER SANDLER,BRENT BRACELIN,NOT FOUND,NOT FOUND,,                  
12/13/2019,Adobe Systems Inc,ADBE,PIPER SANDLER,BRENT BRACELIN,                             ,                             ,339,360
9/16/2020,Adobe Systems Inc,ADBE,PIPER SANDLER,BRENT BRACELIN,                             ,OVERWEIGHT                   ,430,570
6/18/2021,Adobe Systems Inc,ADBE,PIPER SANDLER,BRENT BRACELIN,                             ,OVERWEIGHT                   ,570,600
12/17/2021,Adobe Systems Inc,ADBE,PIPER SANDLER,BRENT BRACELIN,                             ,OVERWEIGHT                   ,670,630
1/10/2022,Adobe Systems Inc,ADBE,PIPER SANDLER,BRENT BRACELIN,,OVERWEIGHT                   ,,600
3/23/2022,Adobe Systems Inc,ADBE,PIPER SANDLER,BRENT BRACELIN,                             ,OVERWEIGHT                   ,600,545
6/17/2022,Adobe Systems Inc,ADBE,PIPER SANDLER,BRENT BRACELIN,                             ,OVERWEIGHT                   ,545,430
9/16/2022,Adobe Systems Inc,ADBE,PIPER SANDLER,BRENT BRACELIN,OVERWEIGHT,OVERWEIGHT,430,358
10/17/2022,Adobe Systems Inc,ADBE,PIPER SANDLER,BRENT BRACELIN,,OVERWEIGHT                   ,,345
9/20/2017,Adobe Systems Inc,ADBE,KEYBANK,BRENT BRACELIN,,                             ,,174
9/14/2018,Adobe Systems Inc,ADBE,KEYBANK,BRENT BRACELIN,OVERWEIGHT,OVERWEIGHT,276,286
3/15/2019,Adobe Systems Inc,ADBE,,BRENT BRACELIN,Overweight,Sector Weight,,
3/31/2020,Adobe Systems Inc,ADBE,PIPER SANDLER,BRENT BRACELIN,Overweight                   ,Overweight                   ,350,350
12/15/2017,Adobe Systems Inc,ADBE,KEYBANK,BRENT BRACELIN,                             ,OVERWEIGHT                   ,216,220
9/15/2023,Adobe Systems Inc,ADBE,PIPER SANDLER,BRENT BRACELIN,                             ,OVERWEIGHT                   ,572,650
12/14/2023,Adobe Systems Inc,ADBE,PIPER SANDLER,BRENT BRACELIN,,OVERWEIGHT                   ,,650
1/2/2024,Adobe Systems Inc,ADBE,PIPER SANDLER,BRENT BRACELIN,,OVERWEIGHT                   ,,705
6/21/2017,Adobe Systems Inc,ADBE,KEYBANK,BRENT BRACELIN,                             ,OVERWEIGHT                   ,142,174
11/22/2017,Adobe Systems Inc,ADBE,KEYBANK,BRENT BRACELIN,                             ,OVERWEIGHT                   ,178,216
9/22/2021,Adobe Systems Inc,ADBE,PIPER SANDLER,BRENT BRACELIN,OVERWEIGHT,OVERWEIGHT,600,670
4/23/2025,Adobe Systems Inc,ADBE,PIPER SANDLER,BRENT BRACELIN,                             ,OVERWEIGHT                   ,600,500
12/12/2024,Adobe Systems Inc,ADBE,PIPER SANDLER,BRENT BRACELIN,OVERWEIGHT,OVERWEIGHT,635,600
7/12/2024,Adobe Systems Inc,ADBE,PIPER SANDLER,BRENT BRACELIN,                             ,OVERWEIGHT                   ,700,635
12/16/2022,Adobe Systems Inc,ADBE,PIPER SANDLER,BRENT BRACELIN,Overweight                   ,Overweight                   ,380,380
1/9/2023,Adobe Systems Inc,ADBE,PIPER SANDLER,BRENT BRACELIN,Overweight                   ,Overweight                   ,415,415
3/16/2023,Adobe Systems Inc,ADBE,PIPER SANDLER,BRENT BRACELIN,Overweight                   ,Overweight                   ,415,415
3/22/2023,Adobe Systems Inc,ADBE,PIPER SANDLER,BRENT BRACELIN,Overweight                   ,Overweight                   ,415,415
6/8/2023,Adobe Systems Inc,ADBE,PIPER SANDLER,BRENT BRACELIN,Overweight                   ,Overweight                   ,500,500
6/16/2023,Adobe Systems Inc,ADBE,PIPER SANDLER,BRENT BRACELIN,Overweight,Overweight,572,572
10/11/2023,Adobe Systems Inc,ADBE,,BRENT BRACELIN,Overweight,Overweight,650,650
11/9/2023,Adobe Systems Inc,ADBE,,BRENT BRACELIN,Overweight,Overweight,650,650
3/27/2024,Adobe Systems Inc,ADBE,PIPER SANDLER,BRENT BRACELIN,Overweight,Overweight,700,700
6/14/2024,Adobe Systems Inc,ADBE,PIPER SANDLER,BRENT BRACELIN,Overweight,Overweight,700,700
9/13/2024,Adobe Systems Inc,ADBE,PIPER SANDLER,BRENT BRACELIN,Overweight,Overweight,635,635
12/5/2024,Adobe Systems Inc,ADBE,PIPER SANDLER,BRENT BRACELIN,Overweight,Overweight,635,635
12/16/2016,Adobe Systems Inc,ADBE,UBS,BRENT THILL,                             ,                             ,130,134
12/15/2017,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,,                             ,,205
3/16/2018,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,,                             ,,263
9/10/2018,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,BUY,BUY,,300
10/25/2019,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,BUY,TOP PICK,,340
11/5/2019,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,                             ,                             ,340,350
12/13/2019,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,                             ,BUY                          ,350,370
1/9/2020,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,                             ,BUY                          ,370,390
3/13/2020,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,                             ,BUY                          ,385,370
6/4/2020,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,                             ,BUY                          ,370,450
6/12/2020,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,                             ,BUY                          ,450,470
9/16/2020,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,                             ,BUY                          ,570,600
5/18/2021,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,                             ,BUY                          ,610,560
6/14/2021,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,,BUY                          ,,630
6/18/2021,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,                             ,BUY                          ,630,660
8/20/2021,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,,BUY                          ,,750
12/10/2021,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,POSITIVE,BUY,,760
12/17/2021,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,                             ,BUY                          ,760,680
3/23/2022,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,BUY,POSITIVE,550,570
5/23/2022,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,,BUY                          ,,550
9/2/2022,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,                             ,BUY                          ,500,475
9/15/2022,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,                             ,BUY                          ,475,440
10/19/2022,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,                             ,BUY                          ,440,420
6/20/2016,Adobe Systems Inc,ADBE,UBS,BRENT THILL,,BUY                          ,,114
3/18/2016,Adobe Systems Inc,ADBE,UBS,BRENT THILL,Buy                          ,Buy                          ,116,116
9/14/2018,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,                             ,                             ,300,315
3/17/2021,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,,BUY                          ,,600
12/14/2018,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,,BUY                          ,,315
9/22/2021,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,BUY,BUY,750,760
9/21/2016,Adobe Systems Inc,ADBE,UBS,BRENT THILL,BUY,BUY,122,130
9/11/2023,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,,BUY                          ,,660
12/14/2023,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,                             ,BUY                          ,660,700
8/24/2017,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,,BUY                          ,,175
12/11/2015,Adobe Systems Inc,ADBE,UBS,BRENT THILL,                             ,BUY                          ,90,105
9/20/2017,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,                             ,BUY                          ,175,180
10/19/2017,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,                             ,BUY                          ,180,190
9/9/2020,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,                             ,                             ,470,570
3/17/2022,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,                             ,                             ,680,550
6/17/2022,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,                             ,BUY                          ,550,500
12/12/2024,Adobe Systems Inc,ADBE,JEFFERIES,BRENT THILL,BUY,BUY,700,650
6/12/2023,Adobe Systems Inc,ADBE,,BRENT THILL,Buy,Buy,530,530
6/11/2020,Adobe Systems Inc,ADBE,OPPENHEIMER,BRIAN SCHWARTZ,                             ,OUTPERFORM                   ,410,430
9/16/2020,Adobe Systems Inc,ADBE,OPPENHEIMER,BRIAN SCHWARTZ,                             ,OUTPERFORM                   ,430,550
12/10/2020,Adobe Systems Inc,ADBE,OPPENHEIMER,BRIAN SCHWARTZ,,OUTPERFORM                   ,,550
6/18/2021,Adobe Systems Inc,ADBE,OPPENHEIMER,BRIAN SCHWARTZ,                             ,OUTPERFORM                   ,550,600
9/22/2021,Adobe Systems Inc,ADBE,OPPENHEIMER,BRIAN SCHWARTZ,                             ,OUTPERFORM                   ,600,680
