Date,Open,High,Low,Close,Volume
01/02/2026,350.68,351.12,331.64,333.3,"5,643,504"
12/31/2025,351.01,352.88,349.69,349.99,"2,116,207"
12/30/2025,352.03,355.27,350.01,352.51,"2,252,633"
12/29/2025,353.37,356.68,351.16,353.16,"2,794,007"
12/26/2025,352.5,356.23,352.28,353.8,"1,455,122"
12/24/2025,352.21,354.75,351.11,352.98,"1,166,487"
12/23/2025,357.47,359.67,350.58,352.42,"3,052,537"
12/22/2025,355.59,359.57,354.7,357.53,"2,960,799"
12/19/2025,355.53,357.55,351.59,355.86,"8,706,340"
12/18/2025,355.87,358.34,351.36,355.81,"3,352,747"
12/17/2025,347.89,357.8,347.8,354.66,"4,371,591"
12/16/2025,350,355.86,345.43,347.89,"4,118,161"
12/15/2025,352.6,355,343.88,351.15,"5,480,102"
12/12/2025,351.54,362.71,349.09,356.43,"5,483,921"
12/11/2025,341.65,357,333.79,350.43,"10,158,660"
12/10/2025,342.13,347.92,340.57,343.13,"6,789,914"
12/09/2025,341.4,347.78,338.48,344.32,"4,267,653"
12/08/2025,347.45,348.48,338.06,339.12,"4,293,603"
12/05/2025,330.6,348.59,329.71,346.26,"7,650,368"
12/04/2025,328.57,330.89,324.12,328.73,"3,592,313"
12/03/2025,321.98,326.99,320.63,326.78,"3,082,184"
12/02/2025,321.62,325.96,318.08,322.81,"3,959,502"
12/01/2025,316.39,326.14,316.11,322.85,"3,643,390"
11/28/2025,317.8,322.31,317.52,320.13,"1,801,980"
11/26/2025,319.2,321.67,316.1,317.52,"3,024,994"
11/25/2025,317.77,321.52,315.57,319.55,"3,765,001"
11/24/2025,325,325.77,318.34,318.73,"5,414,378"
11/21/2025,313.57,327.75,311.59,324.19,"4,825,412"
11/20/2025,318.87,323.18,312.09,312.4,"3,884,778"
11/19/2025,323.18,323.36,315.18,318.11,"3,738,436"
11/18/2025,323.78,326.64,320.8,324.47,"3,286,395"
11/17/2025,331.11,332.38,324.43,325.07,"3,299,999"
11/14/2025,332.91,333.75,328.59,331.11,"2,761,396"
11/13/2025,335.01,340,332.8,333.6,"3,084,558"
11/12/2025,333.61,338.4,333.18,337.05,"2,990,154"
11/11/2025,329.5,334,329.13,333.22,"2,827,150"
11/10/2025,328,329.96,325,328.85,"3,086,999"
11/07/2025,325.83,331.01,323.03,326.95,"4,112,574"
11/06/2025,333,333.2,324.55,327.35,"3,888,696"
11/05/2025,332.61,336.84,331.24,335.53,"2,646,694"
11/04/2025,335.02,340.55,332.81,335.35,"3,694,266"
11/03/2025,340.31,342.46,332.88,337.47,"3,916,593"
10/31/2025,338.7,341.26,336.8,340.31,"3,763,381"
10/30/2025,338.2,344.7,333.1,339.24,"4,373,224"
10/29/2025,355.52,355.52,337.05,337.86,"6,746,464"
10/28/2025,360,363.7,357.8,359.91,"3,005,594"
10/27/2025,355.57,358.56,352.41,357.8,"2,828,152"
10/24/2025,357.21,358.1,353.29,353.52,"2,016,850"
10/23/2025,352.51,354.35,348.71,354.12,"2,408,077"
10/22/2025,355.48,360.19,352.87,354.09,"3,436,003"
10/21/2025,343.59,358.37,343.32,357.55,"4,389,672"
10/20/2025,334.64,344.2,334.25,343.4,"3,903,166"
10/17/2025,327.75,335.1,327.7,333.26,"4,035,035"
10/16/2025,333.86,336.65,327.5,329.23,"4,570,870"
10/15/2025,335.42,335.6,329.21,330.63,"3,929,948"
10/14/2025,335.22,338.82,332.72,335.94,"3,036,889"
10/13/2025,339.25,340.28,335.61,339.32,"3,020,060"
10/10/2025,347.91,348.72,336.94,337.51,"4,282,397"
10/09/2025,349.77,350.6,344.3,347.47,"2,895,504"
10/08/2025,350,354.05,347.52,348.77,"3,285,027"
10/07/2025,352.59,353.33,344.24,348.31,"3,275,506"
10/06/2025,346.93,357.34,342.04,350.14,"5,340,202"
10/03/2025,352,352.59,346.31,346.74,"3,122,111"
10/02/2025,343.76,351.73,342.42,351.48,"3,955,434"
10/01/2025,347.16,349.83,340.05,343.72,"6,505,709"
09/30/2025,360.54,362,349.9,352.75,"5,360,695"
09/29/2025,362.04,363.17,358.8,359.42,"4,075,860"
09/26/2025,353.71,360.72,352.78,360.37,"3,072,990"
09/25/2025,351.91,357,351.5,354.16,"3,336,731"
09/24/2025,355.6,355.6,347.8,353.27,"6,140,007"
09/23/2025,364.18,368.73,361.3,361.78,"3,831,134"
09/22/2025,364.16,365.38,359.36,364.08,"4,709,584"
09/19/2025,368.94,370.31,362.54,365.9,"7,693,030"
09/18/2025,366.86,370.86,365.85,367.46,"4,752,377"
09/17/2025,353.18,365,353.18,362.07,"6,449,922"
09/16/2025,350.16,356.94,348.32,352.73,"6,696,990"
09/15/2025,350.5,358,345.05,347.1,"6,768,570"
09/12/2025,361.1,366.5,341.61,349.36,"14,146,620"
09/11/2025,354.69,355.25,347.16,350.55,"11,804,180"
09/10/2025,356.29,359.19,348.12,350.16,"4,552,514"
09/09/2025,362.75,362.75,353.03,354.06,"4,324,857"
09/08/2025,348.86,358.82,343.59,358.66,"5,043,305"
09/05/2025,345.81,354.67,345.1,348.97,"4,662,587"
09/04/2025,342.24,344.41,331.5,344.31,"4,918,293"
09/03/2025,345.72,348.51,343.36,348.5,"3,035,328"
09/02/2025,350.24,352.71,341.28,345.63,"4,229,423"
08/29/2025,354,357.25,352.46,356.7,"2,639,259"
08/28/2025,357.63,358.26,349.11,353.96,"3,803,095"
08/27/2025,355.98,360.37,355.16,356.35,"2,353,776"
08/26/2025,363.03,363.23,353.7,354.91,"4,067,395"
08/25/2025,362.56,364.65,361.4,363.21,"2,259,516"
08/22/2025,355.8,362.65,354,362.09,"3,058,636"
08/21/2025,349.91,353.82,347,353.43,"2,363,230"
08/20/2025,361.68,363,353.2,353.43,"3,727,897"
08/19/2025,359.22,364.24,358.12,361.03,"2,808,040"
08/18/2025,355.68,358.39,353,357.24,"2,922,973"
08/15/2025,348.33,357.29,348,354.85,"3,718,652"
08/14/2025,349.5,351.56,346.1,348.58,"3,745,646"
08/13/2025,339.54,351.76,337.55,351.07,"4,375,105"
08/12/2025,333.52,338.76,330.04,338.43,"3,572,414"
08/11/2025,334.53,343.4,332.47,333.65,"4,366,242"
08/08/2025,338.68,341.57,336.37,341.05,"3,507,764"
08/07/2025,344.04,347.38,332.65,338.27,"4,661,824"
08/06/2025,341.65,345.66,339.19,345.62,"3,347,165"
08/05/2025,339.31,342.74,337.35,338.74,"3,908,970"
08/04/2025,351.16,351.21,338.04,338.85,"6,449,344"
08/01/2025,355.95,356.29,347.46,347.8,"4,307,890"
07/31/2025,362.26,362.5,354.27,357.69,"4,513,089"
07/30/2025,370.68,370.72,363.48,364,"3,295,204"
07/29/2025,370.45,376.16,369.71,370.7,"4,234,200"
07/28/2025,371.03,372.59,368.72,369.47,"2,984,225"
07/25/2025,372.31,372.41,369.51,370.74,"2,053,161"
07/24/2025,371.9,376,370.61,371.69,"2,692,132"
07/23/2025,373.49,373.99,369.26,372.46,"1,994,599"
07/22/2025,368,374.5,368,372.87,"2,448,998"
07/21/2025,366.49,368.28,363.13,367.68,"2,770,433"
07/18/2025,367.07,367.79,364,365.79,"2,459,234"
07/17/2025,360.6,366.96,359.28,366.45,"3,340,455"
07/16/2025,364.59,365.55,358.71,361.77,"3,592,883"
07/15/2025,367,368.32,363.88,364.18,"2,550,992"
07/14/2025,363.19,367.68,360.18,366.99,"2,898,705"
07/11/2025,368,371.15,362.7,363.35,"3,548,721"
07/10/2025,371.99,373.5,365.51,371.43,"4,023,925"
07/09/2025,383.5,384.75,370.91,373.38,"4,726,562"
07/08/2025,378.5,386.6,377.18,382.24,"3,708,199"
07/07/2025,378.9,382.22,375.52,376.93,"3,545,108"
