date,company_Name,ticker,broker,analytst,rating_before,rating_after,price_target_before,price_target_after
7/6/2020,Intel Corp,INTC,,JAMES COVELLO,Neutral, Sell     ,65,54
4/15/2021,Intel Corp,INTC,,CHRIS CASO,Mkt Perform, Underperf,,
1/25/2019,Intel Corp,INTC,WELLS FARGO,AARON RAKERS,,OUTPERFORM                   ,,55
5/9/2019,Intel Corp,INTC,WELLS FARGO,AARON RAKERS,                             ,NEGATIVE                     ,60,55
4/24/2020,Intel Corp,INTC,WELLS FARGO,AARON RAKERS,                             ,EQUAL WEIGHT                 ,56,60
7/24/2020,Intel Corp,INTC,WELLS FARGO,AARON RAKERS,                             ,EQUAL WEIGHT                 ,60,55
10/11/2022,Intel Corp,INTC,WELLS FARGO,AARON RAKERS,                             ,EQUAL WEIGHT                 ,45,32
8/2/2024,Intel Corp,INTC,WELLS FARGO,AARON RAKERS,                             ,EQUAL WEIGHT                 ,38,28
4/5/2019,Intel Corp,INTC,,AARON RAKERS,Market Perform               ,Market Perform               ,,
1/24/2020,Intel Corp,INTC,WELLS FARGO,AARON RAKERS,Equal Weight                 ,Equal Weight                 ,,
7/23/2021,Intel Corp,INTC,WELLS FARGO,AARON RAKERS,Equal Weight                 ,Equal Weight                 ,70 » 60         ,70 » 60
3/20/2020,Intel Corp,INTC,WELLS FARGO,AARON RAKERS,Equal Weight                 ,Equal Weight                 ,,
10/25/2019,Intel Corp,INTC,WELLS FARGO,AARON RAKERS,Market Perform               ,Market Perform               ,53,53
9/10/2018,Intel Corp,INTC,WELLS FARGO,AARON RAKERS,,OUTPERFORM                   ,,55
4/28/2023,Intel Corp,INTC,WELLS FARGO,AARON RAKERS,                             ,EQUAL WEIGHT                 ,26,32
7/28/2023,Intel Corp,INTC,WELLS FARGO,AARON RAKERS,                             ,EQUAL WEIGHT                 ,32,40
1/3/2024,Intel Corp,INTC,WELLS FARGO,AARON RAKERS,                             ,EQUAL WEIGHT                 ,40,52
4/28/2025,Intel Corp,INTC,WELLS FARGO,AARON RAKERS,,EQUAL WEIGHT                 ,,22
1/31/2025,Intel Corp,INTC,WELLS FARGO,AARON RAKERS,                             ,EQUAL WEIGHT                 ,28,25
4/9/2024,Intel Corp,INTC,WELLS FARGO,AARON RAKERS,                             ,EQUAL WEIGHT                 ,48,43
4/1/2025,Intel Corp,INTC,WELLS FARGO,AARON RAKERS,,EQUAL WEIGHT                 ,,25
4/29/2022,Intel Corp,INTC,WELLS FARGO,AARON RAKERS,Equal Weight                 ,Equal Weight                 ,55,55
1/27/2023,Intel Corp,INTC,WELLS FARGO,AARON RAKERS,Equal Weight                 ,Equal Weight                 ,26,26
1/26/2024,Intel Corp,INTC,WELLS FARGO,AARON RAKERS,Equal Weight,Equal Weight,48,48
4/26/2024,Intel Corp,INTC,WELLS FARGO,AARON RAKERS,Equal Weight,Equal Weight,38,38
6/28/2018,Intel Corp,INTC,RBC,AMIT DARYANANI,SECTOR PERFORM,POSITIVE.,,60
1/27/2017,Intel Corp,INTC,RBC,AMIT DARYANANI,,SECTOR PERFORM               ,,37
10/1/2018,Intel Corp,INTC,RBC,AMIT DARYANANI,,SECTOR PERFORM               ,,55
10/14/2015,Intel Corp,INTC,RBC,AMIT DARYANANI,                             ,SECTOR PERFORM               ,33,34
1/25/2019,Intel Corp,INTC,RBC,AMIT DARYANANI,                             ,SECTOR PERFORM               ,55,50
7/26/2019,Intel Corp,INTC,RBC,AMIT DARYANANI,                             ,UNDERPERFORM                 ,41,47
5/13/2019,Intel Corp,INTC,RBC,AMIT DARYANANI,,UNDERPERFORM                 ,,41
9/16/2016,Intel Corp,INTC,RBC,AMIT DARYANANI,                             ,                             ,36,38
10/19/2016,Intel Corp,INTC,RBC,AMIT DARYANANI,SECTOR PERFORM,SECTOR PERFO,38,37
4/24/2018,Intel Corp,INTC,RBC,AMIT DARYANANI,                             ,SECTOR PERFORM               ,46,54
3/16/2020,Intel Corp,INTC,THINK EQUITY,ASHOK KUMAR,,BUY                          ,,60
7/14/2014,Intel Corp,INTC,IMPERIAL CAPITAL,ASHOK KUMAR,,OUTPERFORM                   ,,37
6/5/2012,Intel Corp,INTC,MAXIM GROUP,ASHOK KUMAR,                             ,                             ,33,29
11/21/2014,Intel Corp,INTC,IMPERIAL CAPITAL,ASHOK KUMAR,                             ,OUTPERFORM                   ,37,40
11/13/2017,Intel Corp,INTC,BARCLAYS,BLAYNE CURTIS,,OVERWEIGHT                   ,,55
4/19/2018,Intel Corp,INTC,BARCLAYS,BLAYNE CURTIS,,                             ,,60
8/6/2018,Intel Corp,INTC,BARCLAYS,BLAYNE CURTIS,EQUAL WEIGHT,OVERWEIGHT,,53
1/22/2021,Intel Corp,INTC,BARCLAYS,BLAYNE CURTIS,                             ,UNDERWEIGHT                  ,50,53
3/23/2021,Intel Corp,INTC,BARCLAYS,BLAYNE CURTIS,                             ,UNDERWEIGHT                  ,53,58
7/23/2021,Intel Corp,INTC,BARCLAYS,BLAYNE CURTIS,                             ,UNDERWEIGHT                  ,58,50
10/22/2021,Intel Corp,INTC,BARCLAYS,BLAYNE CURTIS,                             ,UNDERWEIGHT                  ,50,45
2/18/2022,Intel Corp,INTC,BARCLAYS,BLAYNE CURTIS,                             ,UNDERWEIGHT                  ,50,45
7/11/2022,Intel Corp,INTC,BARCLAYS,BLAYNE CURTIS,,UNDERWEIGHT                  ,,40
7/29/2022,Intel Corp,INTC,BARCLAYS,BLAYNE CURTIS,                             ,UNDERWEIGHT                  ,40,35
10/28/2022,Intel Corp,INTC,BARCLAYS,BLAYNE CURTIS,EQUAL WEIGHT,UNDERWEIGHT,,30
4/27/2018,Intel Corp,INTC,BARCLAYS,BLAYNE CURTIS,Overweight                   ,Overweight                   ,62,62
1/13/2022,Intel Corp,INTC,BARCLAYS,BLAYNE CURTIS,Underweight                  ,Underweight                  ,50,50
10/1/2018,Intel Corp,INTC,BARCLAYS,BLAYNE CURTIS,,UNDERWEIGHT                  ,,38
1/27/2017,Intel Corp,INTC,BARCLAYS,BLAYNE CURTIS,,OVERWEIGHT                   ,,45
4/1/2020,Intel Corp,INTC,BARCLAYS,BLAYNE CURTIS,                             ,UNDERWEIGHT                  ,52,58
