Date,Open,High,Low,Close,Volume
1/2/2026,37.77,39.86,37.76,39.38,"95,396,445"
12/31/2025,37.4,37.58,36.87,36.9,"51,524,680"
12/30/2025,36.91,38.26,36.82,37.3,"61,935,281"
12/29/2025,36.01,36.8,35.82,36.68,"38,062,301"
12/26/2025,36.17,36.49,35.85,36.2,"28,779,400"
12/24/2025,35.17,36.18,34.95,36.16,"37,443,762"
12/23/2025,36.24,36.8,36.03,36.35,"35,957,953"
12/22/2025,37.89,37.9,36.29,36.37,"51,685,391"
12/19/2025,36.48,37.58,36.44,36.82,"163,221,297"
12/18/2025,37.38,37.49,35.67,36.28,"69,468,391"
12/17/2025,37.59,37.84,35.97,36.05,"54,791,953"
12/16/2025,37.58,37.96,36.92,37.31,"50,490,262"
12/15/2025,38.33,38.48,37.32,37.51,"60,898,473"
12/12/2025,39.25,40.03,37.62,37.81,"87,784,469"
12/11/2025,40.07,40.19,39.08,39.51,"59,096,762"
12/10/2025,40.11,40.99,38.89,40.78,"75,974,891"
12/9/2025,40.73,41.26,40.03,40.5,"61,877,160"
12/8/2025,41.94,42.12,39.7,40.3,"93,953,617"
12/5/2025,41.16,42.83,41.15,41.41,"103,042,000"
12/4/2025,43.26,43.28,40.14,40.5,"107,850,203"
12/3/2025,43.39,44.02,42.51,43.76,"91,957,195"
12/2/2025,40.47,43.68,40.05,43.47,"167,205,797"
12/1/2025,39.86,40.38,39.6,40.01,"74,195,700"
11/28/2025,37.4,40.59,37.34,40.56,"95,723,600"
11/26/2025,36.2,37.24,36.13,36.81,"54,563,441"
11/25/2025,35.55,36.13,34.68,35.83,"62,203,281"
11/24/2025,34.97,36.16,34.69,35.79,"103,804,203"
11/21/2025,33.51,34.98,32.89,34.5,"105,641,695"
11/20/2025,36,36.68,33.48,33.62,"96,389,102"
11/19/2025,34.33,35.75,34.25,35.11,"67,115,469"
11/18/2025,34.25,34.76,33.57,34.33,"61,504,801"
11/17/2025,35.45,35.73,34.23,34.71,"72,580,117"
11/14/2025,35.03,36.1,34.62,35.52,"71,716,180"
11/13/2025,37.27,37.31,35.45,35.91,"95,593,172"
11/12/2025,38.06,38.2,37.35,37.89,"53,875,961"
11/11/2025,38.15,38.22,37.49,37.88,"53,741,898"
11/10/2025,38.93,39.53,37.97,38.45,"77,820,273"
11/7/2025,37.26,38.27,36.97,38.13,"95,521,438"
11/6/2025,38.34,39.84,36.8,37.24,"77,629,914"
11/5/2025,37.42,38.69,37.11,38.38,"74,631,602"
11/4/2025,38.14,38.25,36.63,37.03,"102,250,305"
11/3/2025,40.25,40.45,39.05,39.5,"61,267,512"
10/31/2025,40.68,40.83,39.79,39.99,"80,471,367"
10/30/2025,40.97,41.43,40.11,40.16,"84,855,469"
10/29/2025,41.6,42.04,40.92,41.34,"106,962,898"
10/28/2025,39.59,42.48,39.54,41.53,"181,256,406"
10/27/2025,38.39,40.67,38.23,39.54,"160,007,594"
10/24/2025,40.02,41.12,37.83,38.28,"246,380,000"
10/23/2025,36.6,38.4,36.43,38.16,"121,974,203"
10/22/2025,37.84,37.93,36.04,36.92,"87,099,914"
10/21/2025,38.14,38.35,37.67,38.12,"73,134,914"
10/20/2025,37.57,38.52,37.56,38.1,"80,230,234"
10/17/2025,36.36,38.38,36.08,37.01,"119,394,703"
10/16/2025,37.15,38.02,36.41,36.84,"83,357,852"
10/15/2025,36.4,37.49,35.64,37.15,"99,242,711"
10/14/2025,36,36.55,34.69,35.63,"117,908,305"
10/13/2025,36.44,37.51,36.28,37.22,"104,020,703"
10/10/2025,38.46,39.65,36.3,36.37,"183,063,297"
10/9/2025,37.53,38.1,36.86,37.8,"89,884,656"
10/8/2025,36.55,37.79,35.91,37.43,"103,202,094"
10/7/2025,36.64,38.05,36.35,37.17,"111,140,203"
10/6/2025,37.19,38.68,36.43,36.59,"112,086,094"
10/3/2025,37.95,38.08,36.45,36.83,"125,359,297"
10/2/2025,35.76,37.57,35.44,37.3,"149,361,703"
