date,company_Name,ticker,broker,analyst,rating_before,rating_after,price_target_before,price_target_after,Close,High,Low,days_to_target,pt_close_difference
2025-07-14,Intel Corp,INTC,,TIMOTHY ARCURI,Neutral,Neutral,25.0,25.0,23.3,23.4,22.88,24.0,1.6999999999999993
2025-07-07,Intel Corp,INTC,,CHRISTOPHER DANELY,Neutral,Neutral,24.0,24.0,22.0,22.39,21.86,3.0,2.0
2025-05-21,Intel Corp,INTC,,ROSS SEYMORE,Hold                         ,Hold                         ,23.0,23.0,20.69,21.63,20.59,25.0,2.3099999999999987
2025-04-28,Intel Corp,INTC,WELLS FARGO,AARON RAKERS,,EQUAL WEIGHT                 ,,22.0,20.51,21.08,20.05,10.0,1.4899999999999984
2025-04-25,Intel Corp,INTC,,TIMOTHY ARCURI,Neutral,Neutral,21.0,21.0,20.05,20.18,19.34,1.0,0.9499999999999993
2025-04-25,Intel Corp,INTC,MIZUHO,VIJAY RAKESH,                             ,NEUTRAL                      ,23.0,22.0,20.05,20.18,19.34,11.0,1.9499999999999993
2025-04-22,Intel Corp,INTC,BARCLAYS,TOM O'MALLEY,                             ,                             ,23.0,19.0,19.51,19.74,19.04,70.0,0.5100000000000016
2025-04-14,Intel Corp,INTC,UBS,TIMOTHY ARCURI,,NEUTRAL                      ,,22.0,20.31,21.05,19.98,19.0,1.6900000000000013
2025-04-01,Intel Corp,INTC,WELLS FARGO,AARON RAKERS,,EQUAL WEIGHT                 ,,25.0,22.05,22.62,21.66,94.0,2.9499999999999993
2025-02-24,Intel Corp,INTC,MIZUHO,VIJAY RAKESH,NEUTRAL,NEUTRAL,,23.0,24.27,24.8,23.62,1.0,1.2699999999999996
2025-01-31,Intel Corp,INTC,,MATTHEW PRISCO,Neutral,Neutral,22.0,22.0,19.43,20.33,19.38,8.0,2.5700000000000003
2025-01-31,Intel Corp,INTC,WELLS FARGO,AARON RAKERS,                             ,EQUAL WEIGHT                 ,28.0,25.0,19.43,20.33,19.38,10.0,5.57
2025-01-31,Intel Corp,INTC,MORGAN STANLEY,JOSEPH MOORE,                             ,                             ,25.58,25.0,19.43,20.33,19.38,10.0,5.57
2025-01-31,Intel Corp,INTC,,RUBEN ROY,Hold,Hold,21.0,21.0,19.43,20.33,19.38,7.0,1.5700000000000003
2025-01-21,Intel Corp,INTC,,TIMOTHY ARCURI,Neutral,Neutral,23.0,23.0,21.77,22.41,21.75,17.0,1.2300000000000004
2025-01-21,Intel Corp,INTC,CITI,CHRISTOPHER DANELY,,NEUTRAL                      ,,21.0,21.77,22.41,21.75,3.0,0.7699999999999996
2025-01-17,Intel Corp,INTC,BARCLAYS,TOM O'MALLEY,Equal Weight,Equal Weight,23.0,23.0,21.49,21.62,20.79,18.0,1.5100000000000016
2025-01-10,Intel Corp,INTC,MIZUHO,VIJAY RAKESH,                             ,NEUTRAL                      ,23.0,21.0,19.15,19.66,18.91,5.0,1.8500000000000014
2024-12-03,Intel Corp,INTC,,VIVEK ARYA,Underperform,Underperform,21.0,21.0,22.47,23.75,22.44,2.0,1.4699999999999989
2024-11-01,Intel Corp,INTC,UBS,TIMOTHY ARCURI,                             ,NEUTRAL                      ,25.0,26.0,23.2,23.58,21.91,4.0,2.8000000000000007
2024-11-01,Intel Corp,INTC,,WILLIAM STEIN,Hold,Hold,26.0,26.0,23.2,23.58,21.91,4.0,2.8000000000000007
2024-11-01,Intel Corp,INTC,MIZUHO,VIJAY RAKESH,                             ,NEUTRAL                      ,22.0,23.0,23.2,23.58,21.91,1.0,0.1999999999999993
2024-11-01,Intel Corp,INTC,CITI,CHRISTOPHER DANELY,NEUTRAL,NEUTRAL,25.0,22.0,23.2,23.58,21.91,1.0,1.1999999999999993
2024-10-25,Intel Corp,INTC,,RUBEN ROY,Hold,Hold,25.0,25.0,22.68,23.34,22.41,8.0,2.3200000000000003
2024-10-03,Intel Corp,INTC,,ROSS SEYMORE,Hold,Hold,25.0,25.0,22.26,22.73,21.65,24.0,2.7399999999999984
2024-08-08,Intel Corp,INTC,,VIJAY RAKESH,Outperform,Neutral,22.0,22.0,20.49,20.55,18.84,16.0,1.5100000000000016
2024-08-02,Intel Corp,INTC,,CHRISTOPHER ROLLAND,Neutral,Neutral,26.0,26.0,21.48,21.98,20.42,68.0,4.52
2024-08-02,Intel Corp,INTC,UBS,TIMOTHY ARCURI,                             ,NEUTRAL                      ,37.0,32.0,21.48,21.98,20.42,282.0,10.52
2024-08-02,Intel Corp,INTC,,VIVEK ARYA,Neutral,Underperform,23.0,23.0,21.48,21.98,20.42,34.0,1.5199999999999996
2024-08-02,Intel Corp,INTC,BARCLAYS,BLAYNE CURTIS,                             ,                             ,40.0,25.0,21.48,21.98,20.42,67.0,3.5199999999999996
2024-08-02,Intel Corp,INTC,,GUS RICHARD,Outperform,Outperform,42.0,42.0,21.48,21.98,20.42,310.0,20.52
2024-08-02,Intel Corp,INTC,,SUJI DESILVA,Neutral,Neutral,25.0,25.0,21.48,21.98,20.42,67.0,3.5199999999999996
2024-08-02,Intel Corp,INTC,,ROSS SEYMORE,Hold,Hold,27.0,27.0,21.48,21.98,20.42,135.0,5.52
2024-08-02,Intel Corp,INTC,,MATTHEW BRYSON,Neutral,Neutral,25.0,25.0,21.48,21.98,20.42,67.0,3.5199999999999996
2024-08-02,Intel Corp,INTC,WELLS FARGO,AARON RAKERS,                             ,EQUAL WEIGHT                 ,38.0,28.0,21.48,21.98,20.42,282.0,6.52
2024-08-02,Intel Corp,INTC,,HARLAN SUR,Underweight,Underweight,26.0,26.0,21.48,21.98,20.42,68.0,4.52
2024-08-02,Intel Corp,INTC,TRUIST,WILLIAM STEIN,                             ,HOLD                         ,33.0,25.0,21.48,21.98,20.42,67.0,3.5199999999999996
2024-08-02,Intel Corp,INTC,MORGAN STANLEY,JOSEPH MOORE,Equal Weight,Equal Weight,25.0,25.0,21.48,21.98,20.42,67.0,3.5199999999999996
2024-07-16,Intel Corp,INTC,,C J MUSE,Neutral,Neutral,40.0,40.0,34.34,34.45,33.84,321.0,5.659999999999997
2024-05-13,Intel Corp,INTC,BARCLAYS,BLAYNE CURTIS,Hold,Hold,34.0,34.0,30.51,31.13,30.0,37.0,3.4899999999999984
2024-05-08,Intel Corp,INTC,STIFEL,RUBEN ROY,                             ,HOLD                         ,45.0,34.0,30.0,30.15,29.73,40.0,4.0
2024-05-01,Intel Corp,INTC,DZ BANK,INGO WERMANN,                             ,HOLD                         ,41.0,34.0,30.37,31.04,30.02,45.0,3.629999999999999
2024-04-26,Intel Corp,INTC,,RYAN MACWILLIAMS,Equal Weight,Equal Weight,40.0,40.0,31.88,32.24,30.64,375.0,8.120000000000001
2024-04-26,Intel Corp,INTC,TRUIST,WILLIAM STEIN,Hold,Hold,33.0,33.0,31.88,32.24,30.64,48.0,1.120000000000001
2024-04-26,Intel Corp,INTC,,MATTHEW BRYSON,Neutral,Neutral,32.5,32.5,31.88,32.24,30.64,48.0,0.620000000000001
2024-04-26,Intel Corp,INTC,JPMORGAN,HARLAN SUR,                             ,UNDERWEIGHT                  ,37.0,35.0,31.88,32.24,30.64,49.0,3.120000000000001
2024-04-26,Intel Corp,INTC,,STACY RASGON,Market Perform,Market Perform,35.0,35.0,31.88,32.24,30.64,49.0,3.120000000000001
2024-04-26,Intel Corp,INTC,,CHRISTOPHER ROLLAND,Neutral,Neutral,35.0,35.0,31.88,32.24,30.64,49.0,3.120000000000001
