analyst,total_predictions,targets_hit,hit_rate,avg_pt_close_difference,avg_days_to_target,total_stock_predictions,hit_rate_tier
AARON RAKERS,34,31,0.9117647058823529,25.063636363636363,84.80645161290323,225,Very High (80–100%)
ANANDA BARUAH,3,2,0.6666666666666666,65.23,241.5,55,High (60–80%)
ANGELO ZINO,8,8,1.0,8.56625,25.375,35,Very High (80–100%)
ATIF MALIK,52,51,0.9807692307692307,7.973333333333333,100.7843137254902,161,Very High (80–100%)
BLAYNE CURTIS,35,33,0.9428571428571428,6.739117647058824,97.0909090909091,289,Very High (80–100%)
C J MUSE,20,16,0.8,47.54789473684211,107.625,163,High (60–80%)
CHRIS CASO,31,25,0.8064516129032258,25.55064516129032,100.64,230,Very High (80–100%)
CHRISTOPHER ROLLAND,46,44,0.9565217391304348,12.93409090909091,167.02272727272728,340,Very High (80–100%)
CODY ACREE,13,13,1.0,32.886153846153846,130.46153846153845,134,Very High (80–100%)
CRAIG ELLIS,8,7,0.875,33.80875,145.57142857142858,166,Very High (80–100%)
DAVID WILLIAMS,3,2,0.6666666666666666,101.38333333333333,193.0,9,High (60–80%)
GARY MOBLEY,16,7,0.4375,189.18187500000002,150.85714285714286,141,Medium (40–60%)
GIL LURIA,9,7,0.7777777777777778,14.444444444444445,42.57142857142857,88,High (60–80%)
HARLAN SUR,28,23,0.8214285714285714,28.136,102.91304347826087,246,Very High (80–100%)
HARSH KUMAR,41,40,0.975609756097561,7.505121951219512,73.525,243,Very High (80–100%)
INGO WERMANN,4,2,0.5,4.84,32.0,63,Medium (40–60%)
IVAN FEINSETH,10,10,1.0,14.201999999999998,151.9,55,Very High (80–100%)
JIM KELLEHER,10,10,1.0,6.242,61.0,84,Very High (80–100%)
JOHN VINH,26,23,0.8846153846153846,16.695416666666667,96.65217391304348,211,Very High (80–100%)
JOSEPH MOORE,63,52,0.8253968253968254,12.517543859649123,83.82692307692308,523,Very High (80–100%)
JOSHUA BUCHALTER,2,2,1.0,27.390000000000008,101.0,30,Very High (80–100%)
KEVIN CASSIDY,29,17,0.5862068965517241,147.0637037037037,450.5882352941176,183,Medium (40–60%)
LOGAN PURK,1,0,0.0,,,1,Very Low (0–20%)
LOUIS MISCIOSCIA,5,4,0.8,1.9300000000000006,72.5,26,High (60–80%)
MARK LIPACIS,59,55,0.9322033898305084,7.050714285714286,199.70909090909092,312,Very High (80–100%)
MATT BRYSON,30,26,0.8666666666666667,26.579310344827583,40.30769230769231,77,Very High (80–100%)
MATTHEW PRISCO,2,2,1.0,81.16499999999999,161.0,22,Very High (80–100%)
MELISSA FAIRBANKS,3,3,1.0,4.44,98.33333333333333,23,Very High (80–100%)
PATRICK SCHOLES,5,5,1.0,4.3740000000000006,15.8,6,Very High (80–100%)
QUINN BOLTON,7,7,1.0,23.791428571428575,56.857142857142854,128,Very High (80–100%)
RICHARD SHANNON,23,21,0.9130434782608695,27.964347826086954,42.142857142857146,23,Very High (80–100%)
RICK SCHAFER,40,37,0.925,31.906052631578948,102.0,163,Very High (80–100%)
ROSS SEYMORE,44,34,0.7727272727272727,10.333863636363636,315.7352941176471,269,High (60–80%)
RUBEN ROY,25,22,0.88,4.266,42.13636363636363,139,Very High (80–100%)
SHELBY SEYRAFI,5,5,1.0,1.5559999999999998,144.0,5,Very High (80–100%)
SRINI PAJJURI,11,10,0.9090909090909091,16.874000000000002,53.4,92,Very High (80–100%)
STACY RASGON,23,23,1.0,6.577826086956521,53.08695652173913,102,Very High (80–100%)
TIMOTHY ARCURI,40,37,0.925,30.693,77.37837837837837,543,Very High (80–100%)
TOM O'MALLEY,5,5,1.0,34.082,36.6,71,Very High (80–100%)
TRISTAN GERRA,15,14,0.9333333333333333,13.426428571428573,96.92857142857143,151,Very High (80–100%)
VIJAY RAKESH,57,56,0.9824561403508771,12.02875,170.53571428571428,551,Very High (80–100%)
VIVEK ARYA,61,60,0.9836065573770492,12.136333333333335,125.15,318,Very High (80–100%)
WILLIAM STEIN,54,53,0.9814814814814815,8.597037037037037,117.71698113207547,244,Very High (80–100%)
