date,company_Name,ticker,broker,analyst,rating_before,rating_after,price_target_before,price_target_after,Close
2013-11-18,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,,UNDERWEIGHT                  ,,0.32,0.39
2014-02-13,Nvidia Corp,NVDA,SUSQUEHANNA,CHRIS CASO,                             ,NEUTRAL                      ,0.35,0.37,0.43
2014-02-13,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,,UNDERWEIGHT                  ,,0.32,0.43
2014-03-19,Nvidia Corp,NVDA,STIFEL,KEVIN CASSIDY,BUY,BUY,0.47,0.52,0.46
2014-03-24,Nvidia Corp,NVDA,B. RILEY,CHRISTOPHER ROLLAND,,MARKET PERFORM               ,,0.42,0.46
2014-05-06,Nvidia Corp,NVDA,SUSQUEHANNA,CHRIS CASO,,NEUTRAL                      ,,0.4,0.46
2014-05-09,Nvidia Corp,NVDA,STIFEL,KEVIN CASSIDY,Buy                          ,Buy                          ,22.0,22.0,0.45
2014-06-19,Nvidia Corp,NVDA,BAML,VIVEK ARYA,NEUTRAL,UNDERPERFORM,,0.47,0.48
2014-08-08,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,                             ,UNDERPERFORM                 ,0.35,0.37,0.48
2014-08-08,Nvidia Corp,NVDA,B. RILEY,CHRISTOPHER ROLLAND,MARKET PERFORM,MARKET PERFO,,0.5,0.48
2014-11-04,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,,HOLD                         ,,0.42,0.5
2014-11-07,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,                             ,HOLD                         ,0.47,0.52,0.49
2014-11-07,Nvidia Corp,NVDA,STIFEL,KEVIN CASSIDY,                             ,BUY                          ,0.55,0.6,0.49
2015-02-12,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,UNDERWEIGHT,UNDERWEIGHT,0.42,0.5,0.56
2015-02-12,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,Hold                         ,Hold                         ,23.0,23.0,0.56
2015-02-12,Nvidia Corp,NVDA,,KEVIN CASSIDY,Buy                          ,Buy                          ,27.0,27.0,0.56
2015-02-12,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,Hold                         ,Hold                         ,23.0,23.0,0.56
2015-03-10,Nvidia Corp,NVDA,BAML,VIVEK ARYA,NEUTRAL,BUY,0.6,0.7,0.57
2015-05-06,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,,UNDERWEIGHT                  ,,0.5,0.55
2015-05-08,Nvidia Corp,NVDA,,KEVIN CASSIDY,Buy                          ,Buy                          ,25.0,25.0,0.52
2015-08-07,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,Underweight                  ,Underweight                  ,21.0,21.0,0.57
2015-08-07,Nvidia Corp,NVDA,SUSQUEHANNA,CHRIS CASO,                             ,NEUTRAL                      ,0.47,0.5,0.57
2015-08-07,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,Hold                         ,Hold                         ,24.0,24.0,0.57
2015-08-07,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,Hold                         ,Hold                         ,24.0,24.0,0.57
2015-08-07,Nvidia Corp,NVDA,,KEVIN CASSIDY,Buy                          ,Buy                          ,26.0,26.0,0.57
2015-08-07,Nvidia Corp,NVDA,B. RILEY,CHRISTOPHER ROLLAND,MARKET PERFORM,MARKET PERFO,0.57,0.6,0.57
2015-09-17,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,BUY,HOLD,0.57,0.75,0.58
2015-10-30,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,Equal Weight                 ,Equal Weight                 ,,,0.71
2015-11-06,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,                             ,BUY                          ,0.85,0.95,0.79
2015-11-06,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,Hold                         ,Hold                         ,32.0,32.0,0.79
2015-11-06,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,Equal Weight                 ,Equal Weight                 ,,,0.79
2016-02-17,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,BUY,BUY,,0.95,0.69
2016-02-18,Nvidia Corp,NVDA,,CHRISTOPHER ROLLAND,Buy                          ,Buy                          ,,,0.75
2016-02-18,Nvidia Corp,NVDA,SUSQUEHANNA,CHRIS CASO,                             ,NEUTRAL                      ,0.62,0.65,0.75
2016-02-18,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,Hold                         ,Hold                         ,26.0,26.0,0.75
2016-04-04,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,Buy                          ,Buy                          ,42.0,42.0,0.9
2016-04-06,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,Hold                         ,Hold                         ,30.0,30.0,0.9
2016-04-06,Nvidia Corp,NVDA,,KEVIN CASSIDY,Buy,Hold,,,0.9
2016-05-13,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,,                             ,,,1.02
2016-05-13,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,Hold                         ,Hold                         ,32.0,32.0,1.02
2016-07-14,Nvidia Corp,NVDA,MIZUHO,VIJAY RAKESH,BUY,BUY,,1.5,1.33
2016-08-08,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,,                             ,,1.72,1.47
2016-08-12,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,,HOLD                         ,,1.27,1.58
2016-08-12,Nvidia Corp,NVDA,MIZUHO,VIJAY RAKESH,Buy                          ,Buy                          ,70.0,70.0,1.58
2016-08-12,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,                             ,BUY                          ,1.72,1.82,1.58
2016-09-19,Nvidia Corp,NVDA,TRUIST,WILLIAM STEIN,,NEUTRAL                      ,,1.47,1.59
2016-09-20,Nvidia Corp,NVDA,,CHRISTOPHER ROLLAND,Neutral                      ,Neutral                      ,,,1.58
2016-10-03,Nvidia Corp,NVDA,BAML,VIVEK ARYA,,                             ,,2.0,1.71
2016-11-02,Nvidia Corp,NVDA,CITI,ATIF MALIK,,BUY                          ,,2.25,1.72
2016-11-11,Nvidia Corp,NVDA,MIZUHO,VIJAY RAKESH,Buy                          ,Buy                          ,97.0,97.0,2.2
2016-11-11,Nvidia Corp,NVDA,BARCLAYS,BLAYNE CURTIS,                             ,                             ,1.35,1.8,2.2
2016-11-11,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,                             ,BUY                          ,2.0,2.37,2.2
2016-11-11,Nvidia Corp,NVDA,CITI,ATIF MALIK,,                             ,,2.5,2.2
2016-11-23,Nvidia Corp,NVDA,CITI,ATIF MALIK,BUY,BUY,,2.5,2.35
2016-12-12,Nvidia Corp,NVDA,CITI,ATIF MALIK,,                             ,,2.75,2.24
2016-12-12,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,,                             ,,,2.24
2016-12-14,Nvidia Corp,NVDA,EVERCORE,C J MUSE,BUY,BUY,,3.0,2.41
2016-12-20,Nvidia Corp,NVDA,MIZUHO,VIJAY RAKESH,Buy                          ,Buy                          ,115.0,115.0,2.63
2016-12-28,Nvidia Corp,NVDA,ARGUS,JIM KELLEHER,                             ,BUY                          ,2.37,3.25,2.73
