date,company_Name,ticker,broker,analyst,rating_before,rating_after,price_target_before,price_target_after,Close,days_to_target,pt_close_difference
2013-11-18,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,,UNDERWEIGHT                  ,,0.32,0.39,,0.07
2014-02-13,Nvidia Corp,NVDA,SUSQUEHANNA,CHRIS CASO,                             ,NEUTRAL                      ,0.35,0.37,0.43,,0.06
2014-02-13,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,,UNDERWEIGHT                  ,,0.32,0.43,,0.10999999999999999
2014-03-19,Nvidia Corp,NVDA,STIFEL,KEVIN CASSIDY,BUY,BUY,0.47,0.52,0.46,163.0,0.06
2014-03-24,Nvidia Corp,NVDA,B. RILEY,CHRISTOPHER ROLLAND,,MARKET PERFORM               ,,0.42,0.46,140.0,0.040000000000000036
2014-05-06,Nvidia Corp,NVDA,SUSQUEHANNA,CHRIS CASO,,NEUTRAL                      ,,0.4,0.46,,0.06
2014-05-09,Nvidia Corp,NVDA,STIFEL,KEVIN CASSIDY,Buy                          ,Buy                          ,22.0,22.0,0.45,1835.0,21.55
2014-06-19,Nvidia Corp,NVDA,BAML,VIVEK ARYA,NEUTRAL,UNDERPERFORM,,0.47,0.48,1.0,0.010000000000000009
2014-08-08,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,                             ,UNDERPERFORM                 ,0.35,0.37,0.48,,0.10999999999999999
2014-08-08,Nvidia Corp,NVDA,B. RILEY,CHRISTOPHER ROLLAND,MARKET PERFORM,MARKET PERFO,,0.5,0.48,18.0,0.020000000000000018
2014-11-04,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,,HOLD                         ,,0.42,0.5,,0.08000000000000002
2014-11-07,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,                             ,HOLD                         ,0.47,0.52,0.49,11.0,0.030000000000000027
2014-11-07,Nvidia Corp,NVDA,STIFEL,KEVIN CASSIDY,                             ,BUY                          ,0.55,0.6,0.49,188.0,0.10999999999999999
2015-02-12,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,UNDERWEIGHT,UNDERWEIGHT,0.42,0.5,0.56,94.0,0.06000000000000005
2015-02-12,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,Hold                         ,Hold                         ,23.0,23.0,0.56,1648.0,22.44
2015-02-12,Nvidia Corp,NVDA,,KEVIN CASSIDY,Buy                          ,Buy                          ,27.0,27.0,0.56,1695.0,26.44
2015-02-12,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,Hold                         ,Hold                         ,23.0,23.0,0.56,1648.0,22.44
2015-03-10,Nvidia Corp,NVDA,BAML,VIVEK ARYA,NEUTRAL,BUY,0.6,0.7,0.57,153.0,0.13
2015-05-06,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,,UNDERWEIGHT                  ,,0.5,0.55,37.0,0.050000000000000044
2015-05-08,Nvidia Corp,NVDA,,KEVIN CASSIDY,Buy                          ,Buy                          ,25.0,25.0,0.52,1629.0,24.48
2015-08-07,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,Underweight                  ,Underweight                  ,21.0,21.0,0.57,1521.0,20.43
2015-08-07,Nvidia Corp,NVDA,SUSQUEHANNA,CHRIS CASO,                             ,NEUTRAL                      ,0.47,0.5,0.57,11.0,0.06999999999999995
2015-08-07,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,Hold                         ,Hold                         ,24.0,24.0,0.57,1566.0,23.43
2015-08-07,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,Hold                         ,Hold                         ,24.0,24.0,0.57,1566.0,23.43
2015-08-07,Nvidia Corp,NVDA,,KEVIN CASSIDY,Buy                          ,Buy                          ,26.0,26.0,0.57,1571.0,25.43
2015-08-07,Nvidia Corp,NVDA,B. RILEY,CHRISTOPHER ROLLAND,MARKET PERFORM,MARKET PERFO,0.57,0.6,0.57,1.0,0.030000000000000027
2015-09-17,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,BUY,HOLD,0.57,0.75,0.58,36.0,0.17000000000000004
2015-10-30,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,Equal Weight                 ,Equal Weight                 ,,,0.71,,
2015-11-06,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,                             ,BUY                          ,0.85,0.95,0.79,129.0,0.15999999999999992
2015-11-06,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,Hold                         ,Hold                         ,32.0,32.0,0.79,1512.0,31.21
2015-11-06,Nvidia Corp,NVDA,MORGAN STANLEY,JOSEPH MOORE,Equal Weight                 ,Equal Weight                 ,,,0.79,,
2016-02-17,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,BUY,BUY,,0.95,0.69,61.0,0.26
2016-02-18,Nvidia Corp,NVDA,,CHRISTOPHER ROLLAND,Buy                          ,Buy                          ,,,0.75,,
2016-02-18,Nvidia Corp,NVDA,SUSQUEHANNA,CHRIS CASO,                             ,NEUTRAL                      ,0.62,0.65,0.75,,0.09999999999999998
2016-02-18,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,Hold                         ,Hold                         ,26.0,26.0,0.75,1438.0,25.25
2016-04-04,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,Buy                          ,Buy                          ,42.0,42.0,0.9,1812.0,41.1
2016-04-06,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,Hold                         ,Hold                         ,30.0,30.0,0.9,1407.0,29.1
2016-04-06,Nvidia Corp,NVDA,,KEVIN CASSIDY,Buy,Hold,,,0.9,,
2016-05-13,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,,                             ,,,1.02,,
2016-05-13,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,Hold                         ,Hold                         ,32.0,32.0,1.02,1383.0,30.98
2016-07-14,Nvidia Corp,NVDA,MIZUHO,VIJAY RAKESH,BUY,BUY,,1.5,1.33,20.0,0.16999999999999993
2016-08-08,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,,                             ,,1.72,1.47,38.0,0.25
2016-08-12,Nvidia Corp,NVDA,DEUTSCHE BANK,ROSS SEYMORE,,HOLD                         ,,1.27,1.58,,0.31000000000000005
2016-08-12,Nvidia Corp,NVDA,MIZUHO,VIJAY RAKESH,Buy                          ,Buy                          ,70.0,70.0,1.58,1883.0,68.42
2016-08-12,Nvidia Corp,NVDA,JEFFERIES,MARK LIPACIS,                             ,BUY                          ,1.72,1.82,1.58,52.0,0.24
2016-09-19,Nvidia Corp,NVDA,TRUIST,WILLIAM STEIN,,NEUTRAL                      ,,1.47,1.59,,0.1200000000000001
2016-09-20,Nvidia Corp,NVDA,,CHRISTOPHER ROLLAND,Neutral                      ,Neutral                      ,,,1.58,,
2016-10-03,Nvidia Corp,NVDA,BAML,VIVEK ARYA,,                             ,,2.0,1.71,29.0,0.29000000000000004
