date,Open,High,Low,Close,Volume
2011-01-03,0.39,0.4,0.39,0.4,"817,512,792"
2011-01-04,0.4,0.4,0.39,0.39,"651,424,393"
2011-01-05,0.4,0.43,0.4,0.42,"1,428,212,786"
2011-01-06,0.44,0.48,0.43,0.48,"3,493,309,045"
2011-01-07,0.48,0.5,0.47,0.5,"2,580,377,494"
2011-01-10,0.49,0.52,0.48,0.52,"1,750,347,182"
2011-01-11,0.52,0.53,0.5,0.51,"2,711,462,173"
2011-01-12,0.51,0.58,0.51,0.58,"3,431,892,446"
2011-01-13,0.58,0.6,0.56,0.58,"2,696,351,533"
2011-01-14,0.57,0.6,0.57,0.59,"1,595,351,224"
2011-01-18,0.58,0.59,0.56,0.58,"1,813,346,382"
2011-01-19,0.58,0.59,0.56,0.56,"1,197,894,748"
2011-01-20,0.55,0.56,0.54,0.56,"1,111,650,469"
2011-01-21,0.57,0.57,0.55,0.56,"739,424,753"
2011-01-24,0.58,0.63,0.57,0.62,"2,057,262,339"
2011-01-25,0.62,0.62,0.6,0.6,"1,086,854,749"
2011-01-26,0.61,0.63,0.6,0.61,"1,074,656,389"
2011-01-27,0.62,0.62,0.6,0.61,"657,682,353"
2011-01-28,0.61,0.62,0.58,0.59,"1,094,936,309"
2011-01-31,0.6,0.61,0.59,0.6,"750,156,392"
2011-02-01,0.6,0.62,0.6,0.61,"654,297,593"
2011-02-02,0.61,0.65,0.61,0.64,"1,606,613,584"
2011-02-03,0.64,0.64,0.61,0.63,"1,031,140,390"
2011-02-04,0.64,0.65,0.63,0.64,"872,897,191"
2011-02-07,0.63,0.64,0.61,0.62,"934,235,991"
2011-02-08,0.62,0.62,0.59,0.6,"1,076,890,389"
2011-02-09,0.6,0.61,0.57,0.58,"1,277,517,547"
2011-02-10,0.57,0.58,0.57,0.57,"1,042,350,390"
2011-02-11,0.57,0.61,0.56,0.59,"1,359,273,586"
2011-02-14,0.59,0.61,0.58,0.58,"1,287,825,227"
2011-02-15,0.58,0.58,0.56,0.56,"886,977,551"
2011-02-16,0.57,0.59,0.57,0.58,"1,318,362,787"
